actual_score,predicted_score,error,absolute_error,match_id,innings
164.0,246.66666666666669,-82.66666666666669,82.66666666666669,71932706,2
156.0,233.33333333333331,-77.33333333333331,77.33333333333331,71770530,2
199.0,123.33333333333334,75.66666666666666,75.66666666666666,71932718,2
180.0,110.0,70.0,70.0,73284980,1
164.0,230.0,-66.0,66.0,71932848,2
185.0,120.0,65.0,65.0,73284484,1
161.0,96.66666666666666,64.33333333333334,64.33333333333334,71770378,1
166.0,230.0,-64.0,64.0,73284966,2
156.0,96.66666666666666,59.33333333333334,59.33333333333334,71770638,1
158.0,100.0,58.0,58.0,71770632,2
