match_id,innings,over_mark,runs_so_far,wickets_down,current_run_rate,balls_since_boundary,final_score,batting_team
71770470,1,6,60,0,10.0,0,155,Durban Super Giants SRL
71770470,2,6,61,0,10.166666666666666,0,158,Sunrisers Eastern Cape SRL
71770472,1,6,35,1,5.833333333333333,0,180,Pretoria Capitals SRL
71770472,2,6,69,2,11.5,0,183,Mi Cape Town SRL
71770474,1,6,48,1,8.0,0,193,Paarl Royals SRL
71770474,2,6,51,1,8.5,0,179,Joburg Super Kings SRL
71770476,1,6,45,3,7.5,0,168,Mi Cape Town SRL
71770476,2,6,47,3,7.833333333333333,0,151,Durban Super Giants SRL
71770478,1,6,43,2,7.166666666666667,0,159,Pretoria Capitals SRL
71770478,2,6,35,1,5.833333333333333,0,151,Paarl Royals SRL
71770480,1,6,42,1,7.0,0,187,Sunrisers Eastern Cape SRL
71770480,2,6,50,1,8.333333333333334,0,188,Joburg Super Kings SRL
71770482,1,6,71,0,11.833333333333334,0,226,Durban Super Giants SRL
71770482,2,6,56,1,9.333333333333334,0,185,Pretoria Capitals SRL
71770484,1,6,62,1,10.333333333333334,0,169,Joburg Super Kings SRL
71770484,2,6,27,2,4.5,0,162,Mi Cape Town SRL
71770486,1,6,31,2,5.166666666666667,0,135,Sunrisers Eastern Cape SRL
71770486,2,6,38,2,6.333333333333333,0,137,Paarl Royals SRL
71770488,1,6,78,0,13.0,0,217,Durban Super Giants SRL
71770488,2,6,36,1,6.0,0,192,Joburg Super Kings SRL
71770490,1,6,46,1,7.666666666666667,0,178,Paarl Royals SRL
71770490,2,6,29,3,4.833333333333333,0,132,Mi Cape Town SRL
71770492,1,6,35,0,5.833333333333333,0,175,Sunrisers Eastern Cape SRL
71770492,2,6,69,0,11.5,0,178,Pretoria Capitals SRL
71770494,1,6,65,0,10.833333333333334,0,250,Paarl Royals SRL
71770494,2,6,54,1,9.0,0,191,Durban Super Giants SRL
71770496,1,6,53,0,8.833333333333334,0,189,Mi Cape Town SRL
71770496,2,6,46,1,7.666666666666667,0,176,Sunrisers Eastern Cape SRL
71770498,1,6,52,1,8.666666666666666,0,164,Pretoria Capitals SRL
71770498,2,6,57,0,9.5,0,165,Joburg Super Kings SRL
71770500,1,6,44,1,7.333333333333333,0,199,Islamabad United SRL
71770500,2,6,46,2,7.666666666666667,0,160,Multan Sultans SRL
71770502,1,6,61,0,10.166666666666666,0,212,Peshawar Zalmi SRL
71770502,2,6,44,0,7.333333333333333,0,148,Karachi Kings SRL
71770504,1,6,43,0,7.166666666666667,0,188,Quetta Gladiators SRL
71770504,2,6,50,1,8.333333333333334,0,144,Lahore Qalandars SRL
71770506,1,6,48,0,8.0,0,198,Rawalpindiz Srl
71770506,2,6,44,2,7.333333333333333,0,175,Hyderabad Kingsmen Srl
71770508,1,6,55,1,9.166666666666666,0,177,Islamabad United SRL
71770508,2,6,49,2,8.166666666666666,0,170,Peshawar Zalmi SRL
71770510,1,6,48,2,8.0,0,128,Quetta Gladiators SRL
71770510,2,6,37,1,6.166666666666667,0,130,Karachi Kings SRL
71770512,1,6,43,3,7.166666666666667,0,127,Lahore Qalandars SRL
71770512,2,6,37,2,6.166666666666667,0,132,Rawalpindiz Srl
71770514,1,6,41,2,6.833333333333333,0,172,Multan Sultans SRL
71770514,2,6,36,2,6.0,0,132,Hyderabad Kingsmen Srl
71770516,1,6,39,2,6.5,0,185,Quetta Gladiators SRL
71770516,2,6,55,3,9.166666666666666,0,149,Islamabad United SRL
71770518,1,6,38,2,6.333333333333333,0,155,Rawalpindiz Srl
71770518,2,6,51,0,8.5,0,157,Karachi Kings SRL
71770520,1,6,39,2,6.5,0,181,Multan Sultans SRL
